"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","EID"
"Freitas J.F.; Oliveira T.T.; Agnez-Lima L.F.","Freitas, Júlia Firme (57220486817); Oliveira, Thais Teixeira (57204454676); Agnez-Lima, Lucymara Fassarella (6602865106)","57220486817; 57204454676; 6602865106","Metaviromic reveals the dynamics and diversity of the virosphere in wastewater samples from Natal, Brazil","2024","Environmental Pollution","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201440492&doi=10.1016%2fj.envpol.2024.124752&partnerID=40&md5=97ac924ada0111b25ee5678935ff727c","2-s2.0-85201440492"
"de Carvalho Matias E.G.; Bezerra K.S.; Costa A.H.L.; Clemente Junior W.S.; Oliveira J.I.N.; Ribeiro Junior L.A.; Galvão D.S.; Fulco U.L.","de Carvalho Matias, E.G. (58983494100); Bezerra, K.S. (57189309901); Costa, A. H. Lima (57952405300); Clemente Junior, W.S. (57209334780); Oliveira, J.I.N. (36998071700); Ribeiro Junior, L.A. (55622152600); Galvão, D.S. (7005465927); Fulco, U.L. (6603387870)","58983494100; 57189309901; 57952405300; 57209334780; 36998071700; 55622152600; 7005465927; 6603387870","Quantum biochemical analysis of the TtgR regulator and effectors","2024","Scientific Reports","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190260762&doi=10.1038%2fs41598-024-58441-9&partnerID=40&md5=735242e29f6881712ce6392c7a21c188","2-s2.0-85190260762"
"Islam M.R.; Sharma S.; Yeasir Arafat S.; Dev Bairagi R.; Tayyeb J.Z.; Bayıl I.; Morais G.C.D.F.; H Abdellattif M.; Abdelkrim G.; Oliveira J.I.N.","Islam, Md Rezaul (57567318400); Sharma, Shankar (59238703800); Yeasir Arafat, Sk (59238559700); Dev Bairagi, Rahul (58776521500); Tayyeb, Jehad Zuhair (57205654031); Bayıl, Imren (58075625200); Morais, Gabriel Christian de Farias (58494199300); H Abdellattif, Magda (59238703900); Abdelkrim, GUENDOUZI (53879596900); Oliveira, Jonas Ivan Nobre (36998071700)","57567318400; 59238703800; 59238559700; 58776521500; 57205654031; 58075625200; 58494199300; 59238703900; 53879596900; 36998071700","Identification of new inhibitors for the avian H1N1 virus through molecular docking and dynamic simulation approaches","2024","Journal of the Indian Chemical Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199883716&doi=10.1016%2fj.jics.2024.101274&partnerID=40&md5=98bfcc3bfe32650b9a0645e0d3318ace","2-s2.0-85199883716"
"Azevedo K.S.; de Souza L.C.; Coutinho M.G.F.; de M. Barbosa R.; Fernandes M.A.C.","Azevedo, Karolayne S. (58139278100); de Souza, Luísa C. (58139496100); Coutinho, Maria G. F. (57208260908); de M. Barbosa, Raquel (59204729200); Fernandes, Marcelo A. C. (7202947679)","58139278100; 58139496100; 57208260908; 59204729200; 7202947679","Deepvirusclassifier: a deep learning tool for classifying SARS-CoV-2 based on viral subtypes within the coronaviridae family","2024","BMC Bioinformatics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197484262&doi=10.1186%2fs12859-024-05754-1&partnerID=40&md5=5e567a88dc1c47c45f28f9efeb54eb93","2-s2.0-85197484262"
